file directory,RMSE,MBE,CRMSE,The optimised scale factor
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_17_Hay.CSV,16.958260222562036,-4.220562859622226e-14,16.958260222562025,0.9982364024649069
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_18_Hay.CSV,17.648751840431466,8.831466792966739e-14,17.648751840431466,0.9916398352046787
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U16.CSV,16.279845541876572,6.92855405857059e-14,16.279845541876572,0.9904140242223547
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U17.CSV,16.763821128105562,-1.5223301875169185e-13,16.763821128105562,0.9826524067994862
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U18.CSV,17.23213605479005,8.977844695612596e-14,17.232136054790054,0.9760970927834474
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U19.CSV,17.67109686703483,1.0953946381331674e-13,17.67109686703483,0.9704444631047529
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U20.CSV,18.079362188339775,-6.343042447987161e-15,18.079362188339765,0.9654921841778139
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U21.CSV,18.452124856807842,-4.58650761623687e-14,18.452124856807842,0.9611184469579996
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U22.CSV,18.79148971694309,1.5125716606738613e-14,18.79148971694309,0.9572284772791524
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U23.CSV,19.09825845398758,-9.09982628115081e-14,19.09825845398758,0.953748421654069
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U24.CSV,19.376039349811816,-1.4710979215908684e-13,19.376039349811816,0.9506149852822188
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U25.CSV,19.62635393943888,-9.026637329827882e-15,19.626353939438882,0.9477818188771441
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U26.CSV,19.850360282615288,1.8053274659655763e-14,19.850360282615288,0.9452097553247769
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U27.CSV,20.051584557723643,-3.903410737222868e-15,20.051584557723643,0.9428640814209375
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U28.CSV,20.232584762917245,6.977346692785876e-14,20.232584762917245,0.9407164870865494
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_1_U30.CSV,20.5428273723509,-1.558924663178383e-13,20.542827372350907,0.9369257984133568
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_U15.CSV,15.90108037756417,1.1149116918192817e-13,15.90108037756417,0.9999434703237242
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_U15_Hay.CSV,15.350998245775145,-7.026139327001163e-14,15.350998245775147,1.0155231552498194
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_U16_Hay.CSV,16.17936986775111,-8.245955182383309e-14,16.17936986775111,1.0060208451650636
C:\Users\z5183876\OneDrive - UNSW\Documents\GitHub\25_09_02_Bomen_bifacial_gain_2021\Data\PVsyst\param optimisation\25_08_25_Bowen Solar Farm 2021_VCG_HourlyRes_U29.CSV,20.396435386768534,1.1319891137946317e-13,20.39643538676854,0.9387423263367805
